7292,424A ,Architectural Glass & Metal Technician (Glazier) 
7281,401A ,Brick and Stone Mason (Bricklayer) 
7282,244G ,Cement (Concrete) Finisher 
7282,419A ,Cement Mason 
7611,637C ,Concrete Pump Operator* 
7262,428A ,Construction Boilermaker (Boilermaker) 
7611,450A ,Construction Craft Worker 
7311,426A ,Construction Millwright 
7284,451A ,"Drywall, Acoustic and Lathing Applicator (Lather [Interior Systems Mechanic]) "
7294,453A ,"Drywall, Finisher and Plasterer "
7241,309A ,Electrician Construction and Maintenance (Construction Electrician) 
7241,309C,Electrician Domestic and Rural
7293,455A,Exterior Insulated Finishing Systems Mechanic (EIFS)
7295,448A,Floor Covering Installer
7271,403A,General Carpenter (Carpenter)
,253H,Hazardous Materials Worker (HAZMAT)
7293,253A,Heat and Frost Insulator (Insulator [Heat and Frost])
7421,636C,Heavy Equipment Operator - Dozer
7421,636B,Heavy Equipment Operator - Excavator
7421,636A,Heavy Equipment Operator - Tractor Loader Backhoe
7371,339A,Hoisting Engineer - Mobile Crane Operator (Branch 1) (Mobile Crane Operator)
7371,339C,Hoisting Engineer Mobile Crane Operator (Branch 2 )
7371,339B,Hoisting Engineer Tower Crane Operator
7264,420B,Ironworker - Generalist (Branch 1)
7264,420A,Ironworker - Structural and Ornamental (Branch 2)
7611,296A,Native Residential Construction Worker
7294,404C,Painter and Decorator Branch 1 Commercial and Residential
7294,404D,Painter and Decorator Branch 2 Industrial
7251,306A,Plumber
7244,434A,Powerline Technician
,244K,Precast Concrete Erector
7282,244L,Precast Concrete Finisher
7281,401R,Refractory Mason
7313,313A,Refrigeration and Air Conditioning Systems Mechanic (HVAC technician)
7313,313D,Residential Air Conditioning Mechanic
,308R,Residential (Low Rise) Sheet Metal Installer
7281,244H,Restoration Mason
7291,449A,Roofer
7261,308A,Sheet Metal Worker
7252,427A,Sprinkler System Installer (Sprinkler and Fire Protection Installer)
7252,307A,Steamfitter (Steamfitter/Pipefitter)
7283,241A,"Terrazzo, Tile and Marble Setter (Tilesetter)"
7312,425A,Agricultural Equipment Technician
7321,310E,Alignment and Brakes Technician
7322,310B,Auto Body and Collision Damager Repairer (Branch 1) (Motor Vehicle Body Repairer)
7322,310Q,Auto Body Repairer (Branch 2)
7321,310K,Automotive Electronic Accessory Technician
7321,274L,Automotive Glass Technician
7321,310S,Automotive Serivce Technician
7321,310C,Fuel and Electrical Systems Technician
7312,421A,Heavy Duty Equipment Technician
7335,435B,Marine Engine Technician
7231,410K,Motive Power Machinist
7334,310G,Motorcycle Technician (Motorcycle Mechanic)
7334,282E,Powered Lift Truck Technician
7383,690H,Recreation Vehicle Technician
7335,435A,Small Engine Technician
7321,295A,Tire Wheel and Rim Mechanic
7321,310D,Transmission Technician
7321,310T,Truck and Coach Technician (Truck and Transport Mechanic)
7321,310J,Truck Trailer Service Technician (Transport Trailer Technician)
,421C,Turf Equipment Technician
7321,615A,Bearings Mechanic
7266,600P,Blacksmith
7272,438A,Cabinetmaker
,670C,CNC (computer numerical control) Programmer**
7315,267G,Composite Structures Technician
7232,670D,Die Designer
2253,614A,Draftsperson - Mechanical
2253,614B,Draftsperson - Plastic Mould Design
2253,614C,Draftsperson - Tool & Die Design
7333,446A,Electric Motor Systems Technician
,617A,Electrical Control (Machine) Builder
,289F,Electrician (Signal Maintenance - TTC)
7318,636E,Elevating Devices Mechanic
5226,269E,Entertainment Industry Power Technician
,255W,Facilities Mechanic
,255B,Facilities Technician
9486,661H,Fitter - Assembler (Motor Assembly)
7231,429A,General Machinist (Machinist)
7312,277Z,Hydraulic/Pneumatic Mechanic
7242,442A,Industrial Electrician
7311,433A,Industrial Mechanic Millwright
2243,447A,Instrumentation and Control Technician
,207S,Light Rail Overhead Contact Systems Lineperson (TTC)
7383,259L,Locksmith
7316,430M,Machine Tool Builder and Integrator
7263,437A,Metal Fabricator (Fitter)
,670E,Mould Designer
7232,431A,Mould Maker
7232,277M,Mould or Die Finisher
3414,225A,Optics Technician (Lens and Prism Maker)
7311,609C,Packaging Machine Mechanic
7232,443A,Pattern Maker
7261,200G,Precision Metal Fabricator
7265,456P,Pressure Systems Welder
9232,246T,Process Operator: Food Manufacturing
9232,246R,Process Operator: Power
9232,246F,"Process Operator: Refinery, Chemical & Liquid Processes"
,246W,Process Operator: Wood Products
7311,263F,Pump Systems Installer
7314,268R,Railway Car Technician
7242,288R,Relay and Instrumentation Technician
9511,602H,Roll Grinder/Turner
7383,611B,Saw Filer/Fitter
7311,297A,Ski Lift Mechanic
7372,278B,Surface Blaster
9483,630B,Surface Mount Assembler
,225F,Thin Film Technician
9511,602C,Tool & Cutter Grinder
7231,239B,Tool & Gauge Inspector
7232,430A,Tool and Die Maker
7232,630T,Tool/Tooling Maker
7411,638A,Tractor Trailer Commercial Driver
7373,605B,Water Well Driller
7265,456A,Welder
4214,620B,Aboriginal Child Development Practicioner
8253,640D,Agriculture - Dairy herdsperson
8251,640F,Agriculture - Fruit grower
8253,640S,Agriculture - Swine herdsperson
7332,445A,Appliance Service Technician
2225,444A,Arborist
6242,415A,Assistant Cook
6252,423A,Baker
6252,423C,Baker-Patissier (Baker)
6241,415C,Chef
4212,620A,Child and Youth Worker
6242,415A,Cook (Branch 2)
4212,620D,Developmental Services Worker
4214,620C,Early Childhood Educator (Child Development Practicioner)
4214,620E,Educational Assistant
2242,416E,Electronic Service Technician
7344,606G,Gemsetter/Goldsmith
6271,332A,Hairstylist
6421,606W,"Hardware, Lumber, and Building Materials Retailer"
8253,600H,Horse Groom
9452,219D,Horse Harness Maker
2225,441C,Horticultural Technician (Landscape Horticulturalist)
2282,634E,Information Technology - Contact Centre Customer Service Agent
2282,634D,Information Technology - Contact Centre Sales Agent
2282,634A,Information Technology - Contact Centre Technical Support Agent
2282,634B,Information Technology - Hardware Technician
2281,634C,Information Technology - Network Technician
6242,415D,Institutional Cook
7342,296B,Native Clothing & Crafts Artisan
7245,631A,Network Cabling Specialist
1472,240P,Parts Technician (Partsperson)
7441,237T,Pool & Hot Tub & Spa - Installer
7441,237S,Pool & Hot Tub/Spa - Service Technician
6251,245R,Retail Meat Cutter
9452,219C,Saddlery
1226,297B,Special Events Coordinator
2225,444B,Utility Arborist
7271,211W,Wooden Boat Rebuilder/Repairer
